ID,AREA,NAME,TYPE,SUMMARY,ADDRESS,TEL,PAYEX,SERVICETIME,TW97X,TW97Y,TOTALCAR,TOTALMOTOR
10056,板橋區,遠東百貨停車場,2,立體式建築附設停車空間,板橋區中山路一段152號,,小型車計時每小時60元;,0~24時,296882,2767068,453,0
10008,板橋區,府後立體停車場,2,立體式多目標附建停車場,板橋區府中路32-1、32-2,2969-7281,小型車計時每小時20元;,0~24時,296277,2767002.5,150,0
10028,板橋區,新北市立大觀國民中學停車場,2,立體式多目標附建停車場,板橋區僑中一街1號地下室,22725015#611,小型車計時每小時20元;小型車月租每月4000元;,0~24時,295269,2767084,30,0
10072,板橋區,香丘停車場,2,立體式多目標附建停車場,板橋區中山路一段279號,8953-8420,小型車計時每小時30元;小型車月租每月3300元;,0~24時,297449,2767423,79,0
10086,板橋區,遠東資源開發股份有限公司遠東路1號營業所停車場,2,立體式建築附設停車空間,板橋區遠東路1號地下一層,7741-5000#583,機車計時每小時10元;小型車計時每小時30元;,7:00至23:00,296147,2765704,75,41
10091,板橋區,金板神大樓地下停車場,2,立體式建築附設停車空間,板橋區南雅東路20-6號B2,0932241641；0988018105,小型車計時每小時30元;小型車月租每月2600元;,15時~24時,295886,2766560.5,20,0
10092,板橋區,高爾富停車場,2,平面式臨時路外停車場,板橋區遠東路1號後方空地,7738-9988,小型車計時每小時20元;,0~24時,295829.5,2765664,98,0
10039,板橋區,臺北紙廠停車場,1,平面式臨時路外停車場,板橋區大觀路二段28號,2275-1494,小型車計時每小時20元;小型車月租每月4000元;機車計次每次10元;機車月租每月120元;,0~24時,295054,2766183.5,210,153
10041,板橋區,新北市立中山國民中學附設停車場,2,立體式多目標附建停車場,板橋區文化路一段188巷56號,2250-8250#238,小型車月租每月1000元;小型車月租每月3000元;機車免費免費;,19~6時,297189,2767890,101,86
10115,板橋區,永琦停車場,2,平面式都市計畫停車場,新北市板橋區北門街與文昌街口,89698923,小型車計時每小時20元;小型車月租每月4000元;,0~24時,296076.2,2767093,47,0
10117,板橋區,Times板橋吳鳳路停車場,2,平面式臨時路外停車場,新北市板橋區吳鳳路92號旁空地,800888924,小型車計時每小時80元;,0~24時,297136.4,2769359,11,0
10079,板橋區,板信停車場,2,平面式臨時路外停車場,新北市板橋區信義路與青雲路口,0800-021111,小型車計時每小時30元;機車月租每月300元;小型車月租每月4000元;,0~24時,296505.5,2764770.5,95,95
10127,板橋區,愛買南雅店路外停車場,2,平面式臨時路外停車場,新北市板橋區貴興路119巷,77418000,小型車計時每小時20元;,9~23時,296048,2766056,105,0
10065,板橋區,中華電信學院第一停車場,2,平面式建築附設停車空間,板橋區民族路168號,29639272,小型車月租每月2000元;小型車月租每月3500元;,0~24時,297010,2766786,44,0
10068,板橋區,板橋金站停車場,2,立體式-機械建築附設停車空間,新北市板橋區館前西路6號地下1樓至地下3樓,29591800,小型車計時每小時50元;,0~24時,296341.5,2766645,43,0
10064,板橋區,馥都飯店停車場,2,立體式建築附設停車空間,新北市板橋區縣民大道1段189號B1~B4,29658000,小型車計時每小時100元;,07~23時,296388.5,2766847,49,0
10132,板橋區,愛買南雅店收費停車場,2,立體式建築附設停車空間,新北市板橋區貴興路101號,800002088,小型車計時每小時50元;,0~24時,296049.6,2766152,204,153
10134,板橋區,全群停車場,2,立體式建築附設停車空間,新北市板橋區四維路230巷2號,22535566,小型車計時每小時20元;小型車計次每次100元;小型車月租每月5000元;,0~24時,296839.5,2768969,61,0
10069,板橋區,星聚點板橋站停車場,2,立體式建築附設停車空間,板橋區中山路一段1號B2,29506565,小型車計時每小時80元;,0~24時,296367.5,2766678.5,79,0
10136,板橋區,仁化收費停車場,2,平面式臨時路外停車場,新北市板橋區仁化街54號旁,22523745,小型車計時每小時40元;,0~24時,298019.8,2769392,11,0
10054,板橋區,板橋區府中一區、二區、三區平面停車場,2,平面式臨時路外停車場,新北市板橋區縣民大道、重慶路口,2944-1489,小型車計時每小時100元;小型車月租每月8000元;機車月租每月2000元;機車計次每次60元;,0~24時,296526,2766952,39,81
10114,板橋區,國立臺灣藝術大學停車場,2,立體式多目標附建停車場,新北市板橋區大觀路一段59號,22722181分機1226,小型車計時每小時20元;,0~24時,295192.8,2766511,88,0
10120,板橋區,台灣聯通府中停車場,2,立體式建築附設停車空間,新北市板橋區中山路一段104號B1,2523-5000,小型車計時每小時60元;小型車月租每月7000元;,0~24時,296692.7,2767019,12,0
10096,板橋區,Times板橋金門街停車場,2,平面式臨時路外停車場,新北市板橋區金門街306-2號對面,800888924,小型車計時每小時80元;小型車月租每月8000元;,0~24時,293286.9,2764212,17,0
10018,板橋區,板橋區府中立體停車場,1,立體式-塔臺都市計畫停車場,板橋區西門街59號,",2969-8466",小型車計時每小時20元;小型車計時每小時30元;小型車月租每月3000元;,0~24時,295844,2767052,158,0
10004,板橋區,民生花市停車場,1,平面式都市計畫停車場,民生路2段200及207號對面,"02-22559110, 0905007567",小型車計時每小時30元;小型車月租每月3500元;小型車月租每月2800元;身障車月租每月2000元;,0~24時,297335,2768249,109,0
10121,板橋區,百揚大樓 MEGA TOWEWR 停車場,2,立體式-機械建築附設停車空間,新北市板橋區新站路18號B2~B4、4~9F,77400016,小型車計時每小時60元;,0~24時,297110.8,2767353,712,0
10046,板橋區,板橋國中地下停車場,1,立體式多目標附建停車場,板橋區中正路437號B1,2965-6235,小型車計時每小時20元;小型車計時每小時30元;小型車計次每次200元;小型車月租每月3800元;,0~24時,295825,2768506,100,0
10016,板橋區,溪洲公園平面停車場,1,平面式臨時路外停車場,新北市板橋區滿平街84巷102號對面,26759724,小型車計時每小時20元;小型車計時每小時30元;小型車月租每月2500元;,0~24時,293188.5,2764263,60,0
10022,板橋區,435藝文特區平面停車場,1,平面式臨時路外停車場,新北市板橋區中正路435號,26759724,大型車計時每小時40元;大型車計時每小時60元;小型車計時每小時20元;小型車計時每小時30元;大型車月租每月3600元;小型車月租每月2400元;,0~24時,295619,2768421,21,5
10015,板橋區,崑崙公園平面停車場,1,平面式臨時路外停車場,板橋區大觀路3段160巷31弄5號對面,2682-5469,小型車計時每小時20元;小型車月租每月2500元;,0~24時,293340,2765057.5,56,5
10108,板橋區,浮洲橋下平面停車場,1,平面式臨時路外停車場,板橋區大觀路3段8之1號後方,2682-5469,小型車計時每小時20元;小型車月租每月2000元;,0~24時,293886.1,2765341,30,0
10031,板橋區,板橋車站地下停車場,1,立體式都市計畫停車場,新北市板橋區縣民大道二段7號B2、B3,8969-2632,小型車計時每小時40元;小型車計次每次200元;小型車月租每月4000元;機車計時每小時10元;機車計次每次50元;,0~24時,296876.5,2767444,883,256
10144,板橋區,長江停車場,2,平面式臨時路外停車場,新北市板橋區雙十路3段89號對面空地,25235000,小型車計時每小時60元;小型車月租每月5000元;,0~24時,297383,2769549,122,0
10145,板橋區,忠孝路停車場,2,平面式臨時路外停車場,新北市板橋區忠孝路218號旁空地,89525096,小型車月租每月3500元;,0~24時,297103.7,2766175,10,0
10053,板橋區,新北市政府體育處板橋場區第一運動場地下停車場,2,立體式多目標附建停車場,板橋區漢生東路278號,22526381,小型車計時每小時20元;小型車月租每月4000元;,0~24時,297428,2767061.5,35,0
10001,板橋區,莊敬停車場,1,立體式-塔臺都市計畫停車場,新北市板橋區莊敬路2號,2258-1026,小型車計時每小時20元;小型車計時每小時30元;小型車月租每月3000元;,0~24時,297826,2769021,280,0
10149,板橋區,大漢停車場,1,立體式多目標附建停車場,新北市板橋區民生路3段119號對面,29513569,小型車計時每小時30元;小型車月租每月3000元;小型車月租每月2400元;身障車月租每月1500元;機車計次每次20元;機車月租每月400元;,0~24時,297089.8,2768734,323,314
10036,板橋區,特專三臨時平面停車場,1,平面式臨時路外停車場,新北市板橋區漢生東路64號旁空地,2255-5419,小型車計時每小時20元;小型車計時每小時30元;小型車月租每月3000元;機車計次每次10元;機車月租每月150元;大型車計時每小時40元;大型車計時每小時60元;,0~24時,296922,2767636,271,2365
10013,板橋區,市民廣場地下停車場,1,立體式都市計畫停車場,新北市板橋區縣民大道二段22號B1-B3,29643298,小型車計時每小時30元;小型車月租每月3600元;機車計時每小時10元;機車月租每月200元;,0~24時,296913,2767352,841,1797
10151,板橋區,華江停車場,2,平面式臨時路外停車場,新北市板橋區長江路3段5-1號後方空地,25235000,小型車計時每小時60元;小型車月租每月5000元;,0~24時,297559.3,2769669,171,0
10125,板橋區,國光1站、國光2站,1,平面式臨時路外停車場,新北市板橋區國光路與國光路49巷交叉處旁空地,966566866,小型車計時每小時30元;小型車月租每月4000元;,0~24時,296350.7,2767838,47,10
10123,板橋區,市立殯儀館停車場,1,平面式多目標附建停車場,新北市板橋區中正路560號,02-24551299,小型車計時每小時30元;小型車月租每月3000元;機車免費免費;,0~24時,296079.3,2769008,70,223
10024,板橋區,華東停車場,1,平面式臨時路外停車場,新北市板橋區南雅南路2段144巷88號對面空地,89667646,小型車月租每月2400元;小型車計時每小時20元;,0~24時,295418,2765387,238,29
10155,板橋區,嘟嘟房板橋中正站停車場,2,平面式臨時路外停車場,新北市板橋區中正路與新月一街交叉口,26550818,小型車計時每小時50元;小型車月租每月5000元;,0~24時,295850.7,2768690,52,0
10011,板橋區,板橋區重慶公園地下停車場,1,立體式多目標附建停車場,新北市板橋區重慶路265號B1、B2,800608838,小型車計時每小時30元;小型車月租每月3400元;小型車月租每月2700元;身障車月租每月2500元;機車免費免費;,0~24時,296843.5,2765846,287,30
10082,板橋區,亞東第一停車場,2,立體式多目標附建停車場,新北市板橋區南雅南路2段25號B1、B2,02-77388800,小型車計時每小時30元;小型車計時每小時10元;小型車月租每月3000元;機車計次每次30元;,0~24時,295673,2765528,193,1228
10159,板橋區,河美停車場,2,平面式臨時路外停車場,新北市板橋區華江六路鄰近長江路2段溪頭街口對面,958122903,小型車月租每月2700元;,0~24時,297531.5,2769583,36,0
10020,板橋區,新北市萬板大橋停車場,1,立體式-機械多目標附建停車場,萬板大橋板橋端至14號橋墩下方空間(不含道路、19號橋墩至20號橋墩間龍翠聯合活動中心、20號橋墩至22號橋墩間新北市溪南計程車司機服務中心),2246-1708,小型車計時每小時20元;小型車計時每小時30元;小型車月租每月3300元;,0~24時,298807,2768946.5,389,179
10152,板橋區,板橋四維公園地下停車場,1,立體式多目標附建停車場,新北市板橋區陽明街166號1F及B1~B3,2246-1708,小型車計時每小時30元;小型車月租每月4000元;身障車月租每月2000元;機車計次每次10元;機車月租每月300元;,0~24時,296826.9,2768693,315,23
10160,板橋區,宏達經營管理顧問有限公司雙十停車場,2,立體式建築附設停車空間,新北市板橋區雙十路2段157號B2,29869257,小型車計時每小時50元;小型車月租每月5000元;,0~24時,297872.8,2768990,95,0
10164,板橋區,亞東技術學院第二停車場,2,平面式臨時路外停車場,新北市板橋區高爾富路亞東醫院旁,7738-8800,小型車計時每小時30元;機車計次每次30元;,0~24時,295831.1,2765561,36,216
10103,板橋區,新北市板橋區華翠橋下A、B、G區停車場,1,平面式多目標附建停車場,新北市板橋區華翠橋下A、B、G區停車場,22526381,"小型車計時每小時20元;小型車計時每小時30元;小型車月租每月2,300元;小型車月租每月2,700元;機車計次每次10元;機車月租每月100元;",0~24時,298768.5,2768816,149,31
10104,板橋區,新北市板橋區華翠橋下H、I、K平面停車場,1,立體式-機械多目標附建停車場,新北市板橋區華翠橋下(新北市板橋區富山街至太和街間),22526381,"小型車計時每小時30元;小型車計時每小時20元;小型車月租每月2,900元;機車計次每次10元;機車月租每月300元;",0~24時,297825.6,2768129,132,15
10163,板橋區,板橋果菜批發市場第一停車場,2,立體式多目標附建停車場,新北市板橋區板城路1000號,29899201,小型車計時每小時20元;小型車計時每小時30元;機車計次每次10元;,0~24時,295350.6,2768177,258,399
10165,板橋區,板橋果菜批發市場第二停車場,2,平面式都市計畫停車場,新北市板橋區板城路1000號對面,89651000,"小型車計時每小時20元;小型車月租每月2,700元;小型車月租每月900元;",0~24時,295394,2768094,187,0
10037,板橋區,富山板橋福利站停車場,2,平面式建築附設停車空間,板橋區文化路一段311-1號,22651151,小型車計時每小時100元;小型車月租每月7000元;機車計次每次50元;,0~24時,296933,2768152.5,21,27
10135,板橋區,潤智停車場,2,平面式臨時路外停車場,新北市板橋區大觀路3段50巷52號旁空地,22316406,小型車計時每小時30元;小型車月租每月4000元;,0~24時,293681.5,2765405,143,29
10154,板橋區,臺65高架橋下板橋端停車場,1,平面式多目標附建停車場,新北市板橋區四汴頭抽水站對面,27995657,小型車計時每小時20元;小型車月租每月3000元;,0~24時,295090.5,2767951,68,49
10010,板橋區,新埔停車場,1,立體式-塔臺都市計畫停車場,板橋區英士路199號,",2258-1641",小型車計時每小時20元;小型車計時每小時30元;小型車月租每月3300元;,0~24時,296237,2768491,280,0
10166,板橋區,普廣停車場,2,平面式臨時路外停車場,新北市板橋區民生路3段323號左邊77公尺處,976385250,小型車月租每月2500元;,0~24時,296712.4,2769411,29,0
10131,板橋區,新北市立圖書館地下停車場,1,立體式建築附設停車空間,新北市板橋區貴興路139號B1~B3,29645836,小型車計時每小時30元;小型車月租每月4000元;小型車月租每月2000元;機車計次每次10元;機車月租每月200元;,0~24時,295902.8,2766068,228,278
10122,板橋區,便利停車場新巨蛋站,2,立體式建築附設停車空間,新北市板橋區文化路一段360號B2,2799-1001,小型車計時每小時50元;小型車月租每月6000元;機車計時每次10元;機車月租每月1500元;,0~24時,297305.7,2768480,54,100
10109,板橋區,便利停車場板橋站,2,立體式建築附設停車空間,新北市板橋區南門街61號B2-B3,89698237,小型車計時每小時50元;小型車月租每月5000元;,0~24時,296159.1,2766789,37,0
10126,板橋區,亞東醫院停車場,2,立體式建築附設停車空間,新北市板橋區高爾富路300號1F~3F及B2-B4,8967-5872,小型車計時每小時100元;小型車月租每月6000元;機車計次每次60元;機車月租每月800元;,0~24時,295756.3,2765843,440,839
10168,板橋區,都匯中心地下停車場,2,立體式建築附設停車空間,新北市板橋區中山路2段443巷77號B2、B3,89534738,小型車計時每小時30元;小型車月租每月4000元;,0~24時,298524.4,2768399,83,0
10051,板橋區,新北市政府體育處板橋場區體育館平面停車場,2,立體式多目標附建停車場,板橋區中正路8號,8965-8094,機車月租1000元;機車計時每小時20元;機車計次每次50元;,0~24時,296093,2767388,87,0
10167,板橋區,龍山寺板橋文化廣場停車場,2,立體式建築附設停車空間,新北市板橋區文化路2段242號B1~B3,82520103,小型車月租每月6000元;小型車月租每月5000元;,0~24時,297520.9,2768948,91,0
10169,板橋區,嘟嘟房板橋長江站停車場,2,平面式臨時路外停車場,新北市板橋區環河西路4段與長江路1段150巷週邊空地,26550818,小型車計時每小時50元;小型車月租每月5000元;,0~24時,296281.6,2769221,30,0
10170,板橋區,江翠站停車場,2,平面式臨時路外停車場,新北市板橋區雙十路3段89號右前方80公尺,966566866,小型車計時每小時40元;小型車月租每月6000元;,0~24時,297442.9,2769628,50,0
10085,板橋區,板橋國小地下停車場,1,立體式多目標附建停車場,板橋區文化路一段23號B1~B3,89698938,小型車計時每小時30元;小型車月租每月3800元;,0~24時,296238.5,2767099.5,224,0
10171,板橋區,新板大樓停車場,2,立體式建築附設停車空間,新北市板橋區中山路1段141號B3、B4,29648288,小型車計時每小時100元;小型車月租每月1萬元;,0~24時,296812.3,2767093,89,0
10161,板橋區,助安168板橋長江停車場,2,平面式臨時路外停車場,新北市板橋區溪頭街160號對面空地,27546661,小型車計時每小時60元;小型車月租每月6000元;,0~24時,296465.8,2769266,147,0
10172,板橋區,翠濱收費停車場,2,平面式臨時路外停車場,新北市板橋區環河西路4段與華江九路及華江八路交叉口旁空地,22596656,小型車計時每小時20元;小型車月租每月2500元;,0~24時,297032.8,2769615,203,0
10110,板橋區,板橋高中地下停車場,1,立體式多目標附建停車場,新北市板橋區文化路1段25號B1,800608838,小型車計時每小時30元;小型車月租每月4000元;身障車月租每月2000元;,0~24時,296379.7,2767196,229,0
10033,板橋區,英士路平面停車場,1,平面式臨時路外停車場,新北市板橋區新海路135巷口,800608838,小型車計時每小時30元;小型車月租每月4000元;身障車月租每月3000元;,0~24時,296442,2768515.5,23,0
10043,板橋區,國慶平面停車場,1,平面式都市計畫停車場,新北市板橋區重慶路277、279號對面,800608838,小型車計時每小時30元;小型車月租每月2800元;身障車月租每月2000元;,0~24時,296764,2765819,36,0
10173,板橋區,板橋浮洲合宜住宅A3區地下停車場,2,立體式建築附設停車空間,新北市板橋區合宜路69號B1、B2,27546661,小型車計時每小時40元;小型車月租每月4000元;,0~24時,294782,2765519,184,0
10174,板橋區,江翠國小地下停車場,1,,新北市板橋區文化路2段413號B1、B2,77177177,小型車計時每小時30元;小型車計時每小時20元;小型車月租每月4000元;機車計次每次10元;機車月租每月300元;,0~24時,297816.9,2769555,261,86
10175,板橋區,板橋停四平面停車場,1,平面式都市計畫停車場,新北市板橋區藝文一街及板城路交叉口,22461708,小型車計時每小時20元;小型車計時每小時30元;小型車月租每月3000元;,0~24時,295497.1,2768429,56,0
10177,板橋區,嘟嘟房板橋巨蛋站停車場,2,平面式臨時路外停車場,新北市板橋區環河西路及大漢街旁空地,26550818,小型車計時每小時50元;小型車月租每月5000元;,0~24時,296598.7,2769331,197,0
10178,板橋區,領袖天下停車場,2,立體式建築附設停車空間,新北市板橋區四川路2段16巷1號B1、B2,89661305,身障車計時每小時30元;機車計次每次25元;,0~24時,296023.1,2765450,307,574
10180,板橋區,Times 板橋忠孝路停車場,2,平面式臨時路外停車場,新北市板橋區忠孝路263號對面,800888924,小型車計時每小時80元;小型車月租每月8000元;,0~24時,297196.3,2766188,92,0
10029,板橋區,新北市板橋區新海抽水站平面停車場,1,平面式臨時路外停車場,新北市板橋區中正路511號,24551299,小型車計時每小時20元;小型車計時每小時30元;大型車計時每小時40元;大型車計時每小時60元;小型車月租每月3000元;大型車月租每月6000元;,0~24時,295954,2768975.5,34,10
10052,板橋區,新北市政府體育處板橋場區西門停車場,2,平面式多目標附建停車場,新北市板橋區漢生東路278號,2955-8560,小型車計時每小時20元;小型車月租每月4000元;,0~24時,297150,2767007.5,58,0
10093,板橋區,東方富域停車場,2,立體式建築附設停車空間,新北市板橋區縣民大道二段78號B7及B8,2964-7323,小型車計時每小時80元;小型車月租每月6000元;,0~24時,297019.5,2767491.5,184,0
10140,板橋區,板橋江翠水岸停一停車場,1,平面式都市計畫停車場,新北市板橋區溪頭公園旁,24551299,小型車計時每小時30元;小型車月租每月3500元;,0~24時,297076,2769461,25,0
10139,板橋區,板橋江翠水岸停二停車場,1,平面式都市計畫停車場,新北市板橋區華江一路與華江五路交叉口,24551299,小型車計時每小時30元;小型車月租每月3300元;,0~24時,297672.3,2769719,43,5
10044,板橋區,捷運江子翠轉乘停車場,1,平面式多目標附建停車場,新北市板橋區文化路二段296號,22461708,小型車月租每月3000元;機車計次每次20元;機車月租每月300元;,0~24時,297740.5,2769296.5,26,126
10116,板橋區,捷運府中站轉乘停車場,2,平面式多目標附建停車場,新北市板橋區縣民大道一段193號,22461708,機車計次每次30元;機車月租每月300元;,0~24時,296301.3,2766756,0,575
10050,板橋區,新北市立江翠國民中學學生活動中心地下停車場,2,立體式多目標附建停車場,新北市板橋區松江街63號江翠國中活動中心B1,22500125,小型車計時每小時20元;小型車月租每月4000元;,0~24時,297303.5,2769047,49,0
10040,板橋區,正隆公園地下停車場,2,立體式多目標附建停車場,板橋區民生路一段26-1號B1、B2,2951-3569,小型車計時每小時30元;小型車計時每小時20元;小型車月租每月4000元;身障車月租每月2500元;,0~24時,298161,2767203,275,0
10042,板橋區,新北市藝文中心平面停車場,2,平面式多目標附建停車場,新北市板橋區莊敬路62號,22541503,小型車計時每小時30元;,0~24時,297652.5,2768767.5,80,0
10042,板橋區,新北市藝文中心平面停車場,2,平面式建築附設停車空間,新北市板橋區莊敬路62號,978998140,,0~24時,297652.5,2768767.5,,
10042,板橋區,新北市藝文中心平面停車場,2,立體式建築附設停車空間,新北市板橋區莊敬路62號,978998140,小型車計時每小時30元;,0~24時,297652.5,2768767.5,80,0
10124,板橋區,新北市政府江翠停五停車場,2,平面式臨時路外停車場,新北市板橋區中正路560號,02-24551299,小型車計時每小時30元;小型車月租每月3000元;機車免費免費;,0~24時,296005.3,2768957,392,80
10070,板橋區,三民地下停車場,2,立體式建築附設停車空間,新北市板橋區三民路1段210及212號B5及B6,89859111,小型車計時每小時60元;小型車月租每月5000元;,0~24時,297441.5,2767392.5,50,0
10182,板橋區,新都41停車場,2,平面式臨時路外停車場,新北市板橋區溪頭街與大漢街交叉口處,919218244,小型車計時每小時20元;小型車月租每月2000元;,0~24時,296572.8103,2769299.853,13,0
10045,板橋區,聖若望平面停車場,1,平面式臨時路外停車場,新北市板橋區南雅西路2段7巷底,800608838,小型車計時每小時30元;小型車月租每月2700元;身障車月租每月2000元;,0~24時,295609,2766912,77,0
10038,板橋區,南雅西路環河平面停車場,1,平面式臨時路外停車場,新北市板橋區南雅西路2段175巷口,800608838,小型車計時每小時30元;小型車月租每月2700元;身障車月租每月2000元;,0~24時,295556,2767303.5,20,0
10014,板橋區,民生公園地下停車場,1,立體式多目標附建停車場,板橋區民生路一段30號B1,2955-6239,小型車計時每小時30元;小型車月租每月3600元;,0~24時,298073.5,2767359,164,0
10009,板橋區,民權立體停車場,1,立體式都市計畫停車場,新北市板橋區民權路89號,8969-8326,小型車計時每小時30元;小型車月租每月3600元;,0~24時,296477,2767184,154,0
10146,板橋區,江翠國中游泳池共構地下停車場,1,立體式多目標附建停車場,新北市板橋區松江街63號B2~B4,22461708,小型車計時每小時20元;小型車計時每小時30元;小型車月租每月4000元;,0~24時,297282.8,2768934,220,0
10034,板橋區,新店溪華江堤外區停車場,2,平面式臨時路外停車場,板橋區華翠水門進入左轉至華江橋間及華翠水門進入右轉至光復水門間,29620020,小型車計時每小時20元;大型車計時每小時40元;小型車月租每月4000元;大型車月租每月8000元;機車免費免費;,0~24時,298625,2769710.5,523,334
10183,板橋區,板橋凱撒大飯店停車場,2,平面式建築附設停車空間,新北市板橋區縣民大道2段8號B1~B5,89515090,小型車計時每小時100元;小型車月租每月5000元;機車計時每小時60元;,汽車24小時，機車當日4時至隔日凌晨1時,296667.5009,2767103.249,688,719
10186,板橋區,板橋雙十廣場停車場,2,平面式臨時路外停車場,新北市板橋區文化路2段182巷7弄,,;,0~24時,297688.7176,2768965.312,109,0
10002,板橋區,廣福公園平面停車場,2,平面式臨時路外停車場,板橋區五權公園大門左右兩側,,;,0~24時,296809,2764971.5,97,0
10003,板橋區,國光公園平面停車場,2,平面式多目標附建停車場,板橋區中正路375巷48號左右兩旁,,;,0~24時,295752,2768162.5,48,0
20009,板橋區,板橋玫瑰中正,1,平面式臨時路外停車場,板橋區中正路板橋國中對面,,;,0~24時,299338,2771898,32,0
10102,板橋區,板橋玫瑰綠堤,2,平面式臨時路外停車場,板橋區綠堤街與龍泉街54巷7弄(板橋區綠堤街與龍泉街82巷口),,;,0~24時,295867,2768632,14,0
10038,板橋區,板橋環河(南雅西路環河平面停車場),1,,館前西路160巷板城路口,,;,0~24時,295556,2767303.5,22,0
10022,板橋區,板橋華翠橋下(機車區),1,,市民大道1段太和街口至3段,,;,0~24時,297941,2768215,0,0
10022,板橋區,台65高架橋下停車場,1,,湳仔溝沿岸,,;,0~24時,295099,2767925,0,0